cod_ibge,nome_municipio,n_years,hosp_0_14_total,poison_0_14_total,hosp_pest_0_14_total,poison_pest_0_14_total,pop_0_14_person_years,pop_0_14_mean_annual,pop_0_14_2024,hosp_rate_0_14_per100k_yr,poison_rate_0_14_per100k_yr,hosp_pest_rate_0_14_per100k_yr,poison_pest_rate_0_14_per100k_yr
350190,Amparo,11,13,126,0,11,134704,12246,11781,9.65,93.54,0,8.17
353110,Mongaguá,11,5,103,0,8,134239,12204,12028,3.72,76.73,0,5.96
353730,Penápolis,11,18,140,0,9,132490,12045,11848,13.59,105.67,0,6.79
353030,Mirassol,11,23,174,1,5,129769,11797,12430,17.72,134.08,0.77,3.85
351960,Ibitinga,11,44,51,0,5,129528,11775,12149,33.97,39.37,0,3.86
353340,Nova Odessa,11,13,87,1,4,129097,11736,11964,10.07,67.39,0.77,3.1
355500,Tupã,11,15,117,0,8,128437,11676,11191,11.68,91.1,0,6.23
354680,Santa Isabel,11,7,73,0,3,125424,11402,10630,5.58,58.2,0,2.39
350590,Batatais,11,52,281,0,3,124885,11353,10873,41.64,225.01,0,2.4
352470,Jaguariúna,11,14,133,0,4,123795,11254,11848,11.31,107.44,0,3.23
355645,Vargem Grande Paulista,11,11,73,0,4,122143,11104,10731,9.01,59.77,0,3.27
354060,Porto Feliz,11,13,115,1,14,122012,11092,10963,10.65,94.25,0.82,11.47
350210,Andradina,11,66,125,0,17,120834,10985,10920,54.62,103.45,0,14.07
353780,Piedade,11,8,54,0,6,120561,10960,10087,6.64,44.79,0,4.98
350840,Cabreúva,11,10,120,0,7,120414,10947,10434,8.3,99.66,0,5.81
353390,Olímpia,11,16,139,0,5,120346,10941,10860,13.29,115.5,0,4.15
352730,Louveira,11,7,87,0,4,119822,10893,11879,5.84,72.61,0,3.34
350380,Artur Nogueira,11,4,75,0,7,118847,10804,10613,3.37,63.11,0,5.89
351040,Capivari,11,13,42,0,3,118760,10796,9989,10.95,35.37,0,2.53
351020,Capão Bonito,11,13,74,0,9,117417,10674,9623,11.07,63.02,0,7.66
352840,Mairinque,11,4,11,0,3,115788,10526,10132,3.45,9.5,0,2.59
354070,Porto Ferreira,11,18,176,0,14,115757,10523,9544,15.55,152.04,0,12.09
355370,Taquaritinga,11,37,145,0,14,115671,10516,9444,31.99,125.36,0,12.1
350970,Campos do Jordão,11,4,88,0,5,114530,10412,9491,3.49,76.84,0,4.37
354410,Rio Grande da Serra,11,6,28,0,2,113103,10282,9204,5.3,24.76,0,1.77
352320,Itararé,11,34,52,0,2,112291,10208,9096,30.28,46.31,0,1.78
355150,Serrana,11,45,23,0,1,110684,10062,9555,40.66,20.78,0,0.9
354970,São José do Rio Pardo,11,25,62,0,3,108910,9901,9609,22.95,56.93,0,2.75
354940,São Joaquim da Barra,11,14,2,0,0,107184,9744,9062,13.06,1.87,0,0
354640,Santa Cruz do Rio Pardo,11,60,121,0,2,105880,9625,9208,56.67,114.28,0,1.89
352510,Jardinópolis,11,40,68,0,4,104850,9532,9390,38.15,64.85,0,3.81
353670,Pederneiras,11,14,18,0,4,104608,9510,8978,13.38,17.21,0,3.82
355480,Tremembé,11,4,38,0,3,102963,9360,9342,3.88,36.91,0,2.91
354530,Salto de Pirapora,11,5,65,0,3,102152,9287,8765,4.89,63.63,0,2.94
354020,Pontal,11,33,39,0,2,100622,9147,7898,32.8,38.76,0,1.99
351150,Cerquilho,11,4,14,0,1,95587,8690,8481,4.18,14.65,0,1.05
353550,Paraguaçu Paulista,11,14,155,0,12,94685,8608,8048,14.79,163.7,0,12.67
352480,Jales,11,21,130,0,3,93698,8518,8347,22.41,138.74,0,3.2
353130,Monte Alto,11,19,20,0,0,93095,8463,8142,20.41,21.48,0,0
351860,Guariba,11,22,65,4,7,92480,8407,7673,23.79,70.29,4.33,7.57
354130,Presidente Epitácio,11,44,68,0,8,92048,8368,7425,47.8,73.87,0,8.69
355640,Vargem Grande do Sul,11,9,72,0,8,91523,8320,7737,9.83,78.67,0,8.74
